,gender,n_credits
686,Male,163
687,Female,45
688,Male,150
689,Male,26
690,Male,54
691,Male,38
692,Male,1
693,Male,9
694,Male,7
695,Male,10
696,Not Specified,0
697,Not Specified,0
698,Not Specified,0
699,Male,1
700,Not Specified,0
701,Male,0
702,Female,23
703,Male,47
704,Male,0
705,Not Specified,0
706,Female,2
707,Male,3
708,Male,5
709,Male,151
710,Female,62
711,Male,120
712,Male,73
713,Male,37
714,Female,1
715,Female,73
716,Female,31
717,Male,70
718,Male,35
719,Male,18
720,Male,13
721,Male,0
722,Not Specified,0
723,Female,9
724,Male,0
725,Male,0
726,Male,0
727,Male,0
728,Not Specified,0
729,Male,1
730,Not Specified,0
731,Male,0
732,Male,100
733,Male,91
734,Not Specified,0
735,Female,37
736,Male,94
737,Male,159
738,Not Specified,0
739,Male,71
740,Male,84
741,Not Specified,0
742,Male,0
743,Male,5
744,Male,8
745,Male,0
746,Female,2
747,Male,7
748,Male,0
749,Male,3
750,Female,13
751,Male,41
752,Male,0
753,Male,0
754,Male,0
755,Male,0
756,Female,2
757,Male,2
758,Male,3
759,Not Specified,1
760,Male,0
761,Male,3
762,Not Specified,0
763,Female,0
764,Male,4
765,Male,0
766,Not Specified,0
767,Not Specified,0
768,Male,117
769,Female,37
770,Male,78
771,Male,119
772,Male,68
773,Female,13
774,Female,27
775,Male,3
776,Male,9
777,Male,7
778,Male,2
779,Male,1
780,Male,78
781,Female,53
782,Male,113
783,Male,132
784,Male,58
785,Male,43
786,Male,64
787,Male,64
788,Male,44
789,Male,3
790,Male,8
791,Male,2
792,Female,5
793,Male,32
794,Female,6
795,Male,1
796,Male,2
797,Not Specified,1
798,Male,25
799,Female,52
800,Female,74
801,Female,87
802,Male,8
803,Male,5
804,Female,37
805,Male,0
806,Male,1
807,Female,32
808,Female,50
809,Male,16
810,Male,19
811,Male,189
812,Male,1
813,Not Specified,1
814,Not Specified,0
815,Female,0
816,Not Specified,0
817,Male,104
818,Male,68
819,Male,56
820,Male,57
821,Male,90
822,Male,0
823,Male,93
824,Male,0
825,Male,151
826,Not Specified,0
827,Male,33
828,Not Specified,1
829,Male,1
830,Male,7
831,Male,1
832,Male,23
833,Male,34
834,Male,6
835,Male,13
836,Male,1
837,Male,35
838,Male,34
839,Male,1
840,Male,2
841,Female,0
842,Male,0
843,Male,0
844,Male,0
845,Female,0
846,Male,94
847,Male,85
848,Male,28
849,Male,3
850,Male,15
851,Male,3
852,Male,107
853,Male,51
854,Female,1
855,Male,2
856,Not Specified,0
857,Not Specified,0
858,Not Specified,1
859,Female,33
860,Male,55
861,Male,62
862,Female,2
863,Male,41
864,Male,70
865,Not Specified,4
866,Male,15
867,Male,0
868,Not Specified,0
869,Female,0
870,Not Specified,0
871,Male,211
872,Male,28
873,Female,60
874,Male,161
875,Female,83
876,Male,76
877,Male,3
878,Female,11
879,Male,11
880,Not Specified,8
881,Male,20
882,Male,2
883,Female,1
884,Male,1
885,Male,0
886,Male,1
887,Male,0
888,Female,1
889,Male,0
890,Male,0
891,Not Specified,0
892,Male,0
893,Male,0
894,Male,20
895,Male,4
896,Male,23
897,Male,1
898,Male,166
899,Female,84
900,Male,61
901,Male,36
902,Female,12
903,Male,51
904,Female,22
905,Male,47
906,Female,37
907,Male,8
908,Male,53
909,Male,1
910,Male,8
911,Male,0
912,Male,0
913,Male,0
914,Female,1
915,Male,0
916,Not Specified,0
917,Male,125
918,Female,72
919,Male,113
920,Male,68
921,Male,112
922,Male,83
923,Male,64
924,Male,3
925,Male,13
926,Male,2
927,Male,4
928,Male,2
929,Male,2
930,Male,0
931,Female,1
932,Male,4
933,Male,0
934,Male,132
935,Male,45
936,Female,38
937,Male,48
938,Male,45
939,Male,43
940,Male,11
941,Male,83
942,Male,21
943,Male,13
944,Male,0
945,Female,0
946,Male,1
947,Male,70
948,Male,35
949,Male,63
950,Male,129
951,Male,27
952,Male,35
953,Male,83
954,Male,8
955,Male,16
956,Male,14
957,Male,73
958,Male,11
959,Female,14
960,Male,3
961,Male,1
962,Male,11
963,Male,1
964,Male,1
965,Female,108
966,Male,30
967,Female,51
968,Female,14
969,Female,60
970,Male,21
971,Male,1
972,Not Specified,0
973,Male,89
974,Female,74
975,Male,91
976,Male,61
977,Male,26
978,Male,30
979,Male,8
980,Male,75
981,Male,11
982,Male,6
983,Male,2
984,Not Specified,1
985,Male,0
986,Male,106
987,Male,102
988,Female,70
989,Female,26
990,Male,127
991,Female,38
992,Male,114
993,Male,21
994,Male,83
995,Male,15
996,Male,7
997,Male,70
998,Male,21
999,Male,13
1000,Male,12
1001,Male,88
1002,Male,11
1003,Not Specified,2
1004,Female,3
1005,Male,6
1006,Not Specified,1
1007,Not Specified,0
1008,Male,44
1009,Female,4
1010,Female,17
1011,Male,41
1012,Female,22
1013,Male,10
1014,Male,17
1015,Male,9
1016,Not Specified,0
1017,Female,7
1018,Male,0
1019,Male,0
1020,Not Specified,0
1021,Male,52
1022,Male,0
1023,Male,0
1024,Female,75
1025,Male,78
1026,Male,89
1027,Male,130
1028,Female,30
1029,Male,86
1030,Male,75
1031,Female,28
1032,Male,8
1033,Male,2
1034,Male,0
1035,Female,0
1036,Female,21
1037,Female,18
1038,Female,1
1039,Male,0
1040,Male,13
1041,Male,11
1042,Male,3
